SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523792,MAZDA LTD   ,B ,Q,278.90,301.50,268.00,284.10,280.00,267.30,629,23831,6835006.00,
523796,VICEROY HOTE,B ,Q,17.25,17.90,17.05,17.55,17.55,16.60,689,90856,1581537.00,
523820,NEOCORP INTE,B ,Q,39.20,45.70,39.20,42.75,42.75,38.15,1441,405540,17541344.00,
523826,SOVEREIGN DI,B ,Q,12.43,12.43,11.30,12.38,12.38,11.85,10,5825,71267.00,
523828,MENON BEAR. ,B ,Q,44.50,45.50,42.50,44.55,44.80,42.85,205,25615,1138532.00,
523832,MUKAT PIPES ,T ,Q,3.78,3.78,3.78,3.78,3.78,3.60,4,21,79.00,
523836,GUJ.RAFFIA  ,T ,Q,6.06,6.43,6.06,6.43,6.43,6.13,4,259,1656.00,
523838,SIMPLX INFRA,B ,Q,366.00,374.60,362.00,364.50,366.00,364.00,342,2593,954624.00,
523840,INN.TECH.PAC,B ,Q,26.80,27.20,25.60,27.15,27.15,25.95,138,146343,3975485.00,
523842,SUPER TANNER,B ,Q,6.80,6.80,6.21,6.39,6.39,6.40,40,19130,121513.00,
523844,INVICTA MED ,T ,Q,4.77,4.77,4.77,4.77,4.77,5.02,1,300,1431.00,
523850,AXTEL INDUS.,B ,Q,9.80,10.05,9.50,9.50,9.50,9.17,19,5760,56288.00,
523856,TORR CABS   ,B ,Q,160.00,165.50,157.50,160.10,160.10,152.30,459,39859,6442992.00,
523862,DHOOT INDUST,T ,Q,3.39,3.39,3.39,3.39,3.39,3.33,1,5,16.00,
523874,PRECI CONTNR,B ,Q,0.97,0.97,0.97,0.97,0.97,0.96,2,500,485.00,
523878,TOTAL EXPORT,P ,Q,33.05,33.05,30.40,33.05,33.05,31.70,22,4800,155305.00,
523890,DS.KULKARNI ,B ,Q,72.45,74.00,72.45,73.25,73.50,72.25,41,1877,138036.00,
524000,MAGMA FIN   ,B ,Q,105.00,106.80,99.00,100.80,100.80,103.90,2382,170244,17563857.00,
524013,HIND.FLUROCA,B ,Q,6.00,6.15,5.72,5.98,5.98,5.97,19,22069,132143.00,
524019,HYDRO S & S ,B ,Q,255.00,275.00,245.00,269.80,274.50,251.40,160,14003,3659709.00,
524031,PATIDAR     ,B ,Q,16.20,16.80,15.85,16.20,16.20,16.25,68,9688,157656.00,
524037,RAMA PHOSPH ,B ,Q,30.00,32.85,30.00,31.40,31.30,30.75,75,8435,269663.00,
